business_date,farecard_id,tap_on_time,origin,tap_off_time,destination,fare,concession
2023-11-16,LXWEOO8S6U,06:46,Brampton,08:48,Union Station,4.91,adult
2023-06-07,EJ4A8LUOYE,06:23,Oakville,07:38,Union Station,4.47,student
2023-10-08,ICNKO50GSC,08:58,Hamilton,08:58,Union Station,5.19,student
2023-06-14,49IH539T5T,08:51,Oakville,08:54,Union Station,8.52,student
2023-12-30,MDU4QRO16W,08:43,Hamilton,08:51,Union Station,3.84,adult
2023-05-26,OD9ILHGQHR,07:39,Brampton,08:37,Union Station,6.92,student
2023-02-17,M176C72NI2,07:56,Hamilton,08:33,Union Station,12.07,senior
2023-06-04,4CA8QPJTGZ,07:07,Yorkdale,07:41,Union Station,13.2,senior
2023-02-18,8A8UWYJQ15,07:45,Brampton,08:53,Union Station,13.74,student
2023-04-22,QDCDOH2PPC,07:20,Oakville,08:51,Union Station,5.9,adult
2023-11-16,LCU3Q5KP5I,08:02,Hamilton,08:19,Union Station,10.32,adult
2023-03-05,Q6LLAPL779,07:31,Scarborough,08:27,Union Station,6.79,adult
2023-01-16,2251DHYWYX,07:18,Pickering,08:04,Union Station,12.93,adult
2023-07-22,GRJVHYIY6Z,07:25,Pickering,07:46,Union Station,13.09,student
2023-03-14,CR2M4SSQ4B,07:28,Hamilton,08:44,Union Station,10.68,senior
2023-03-15,JN8XND7FKE,08:27,Union Station,08:52,Union Station,10.2,senior
2023-11-23,AMGX6EP6L9,06:00,Scarborough,07:48,Union Station,7.38,senior
2023-02-08,IX9ASEXCZN,08:15,Hamilton,08:57,Union Station,6.05,adult
2023-05-18,IO6DWF0D6L,06:02,Oakville,08:36,Union Station,8.21,senior
2023-02-02,A5KJ3YL4JH,07:07,Scarborough,07:56,Union Station,6.86,adult
2023-11-08,XZ9TIF87MX,06:56,Bloor,08:44,Union Station,14.64,student
2023-02-07,RTOVV34HVL,08:35,Scarborough,08:55,Union Station,12.13,adult
2023-09-25,89RVCE3E9O,06:07,Bloor,06:58,Union Station,4.09,senior
2023-08-28,U9WDZ4S3FR,08:08,Oakville,08:13,Union Station,13.75,senior
2023-04-22,9S2QTGDP5A,06:48,Pickering,08:16,Union Station,4.97,adult
2023-11-19,ZC6USD68EF,07:48,Pickering,08:48,Union Station,12.87,student
2023-09-26,K9SI25KS1T,06:46,Brampton,08:02,Union Station,7.96,senior
2023-09-04,7W1045HZ23,08:54,Hamilton,08:56,Union Station,5.21,adult
2023-04-03,WA5C1W6FFK,06:55,Oakville,07:48,Union Station,5.92,student
2023-04-18,K25HH6C4SL,08:17,Union Station,08:50,Union Station,9.32,student
2023-07-03,CTK9LM7AY1,07:30,Scarborough,08:23,Union Station,6.96,senior
2023-07-23,7931MZY4BL,07:26,Brampton,07:39,Union Station,8.9,adult
2023-03-14,PR99HUEHQX,07:22,Union Station,08:07,Union Station,10.13,adult
2023-03-27,FJARLUAOVK,07:07,Scarborough,07:24,Union Station,6.47,student
2023-01-11,6ESWLAOOU4,06:48,Scarborough,07:08,Union Station,11.26,adult
2023-01-09,DUXQTC75Q7,06:11,Hamilton,08:56,Union Station,4.53,adult
2023-01-14,D5BB8CBYZK,06:05,Oakville,06:14,Union Station,13.05,senior
2023-10-03,FJFNIK5Y5A,08:41,Brampton,08:49,Union Station,7.07,student
2023-04-03,DOST5PA2GN,07:35,Pickering,08:44,Union Station,6.67,senior
2023-12-17,VT73BHLYM8,08:32,Brampton,08:58,Union Station,14.02,student
2023-01-13,BDZV9JXXGR,07:23,Pickering,08:09,Union Station,4.5,senior
2023-02-16,Z9HMOVDA1I,06:26,Yorkdale,06:53,Union Station,3.84,student
2023-08-03,UMHZ70BDG3,08:56,Brampton,08:56,Union Station,13.65,student
2023-10-07,OBZCR6UR33,08:54,Union Station,08:58,Union Station,14.54,student
2023-10-29,S7W9YYDW49,06:33,Yorkdale,08:28,Union Station,4.13,student
2023-05-20,BJ1AKOGD6L,07:13,Bloor,08:06,Union Station,13.52,adult
2023-12-18,PLBH1DC3K3,07:02,Hamilton,08:01,Union Station,4.56,adult
2023-06-25,FLWVP92XX9,08:40,Oakville,08:41,Union Station,4.89,senior
2023-03-20,G17QNULX4J,08:43,Pickering,08:59,Union Station,10.37,student
2023-10-29,15967QG2VE,08:14,Hamilton,08:42,Union Station,11.71,student
2023-04-16,T2V8ME460X,07:26,Scarborough,08:25,Union Station,4.92,adult
2023-10-03,E9BRBJRKK5,07:09,Hamilton,08:12,Union Station,14.43,senior
2023-10-13,7QCK6WMW2K,07:33,Bloor,07:42,Union Station,10.95,student
2023-04-26,YSM2JR7LV0,07:36,Union Station,08:07,Union Station,14.84,adult
2023-08-31,BZY7HWET6B,07:56,Oakville,08:11,Union Station,10.58,senior
2023-08-17,7TNRRPNJ76,08:12,Pickering,08:14,Union Station,8.6,student
2023-01-10,O89MZHYXPI,06:21,Pickering,06:50,Union Station,10.96,senior
2023-06-05,ET2VG8R44X,07:06,Scarborough,07:41,Union Station,4.78,adult
2023-11-20,AO7OID27QN,08:25,Hamilton,08:34,Union Station,3.71,student
2023-12-09,MW8OKZPIAD,07:34,Scarborough,09:00,Union Station,9.09,senior
2023-04-28,IP3T1NKIKP,06:30,Bloor,07:26,Union Station,11.9,adult
2023-07-21,NALEVTPURV,07:09,Pickering,08:55,Union Station,7.48,senior
2023-03-19,HC8BBMRZFS,08:39,Bloor,08:54,Union Station,12.22,adult
2023-10-23,GVI7DLAWZN,06:42,Brampton,07:00,Union Station,8.39,student
2023-04-06,V7IXH291M5,08:32,Bloor,08:50,Union Station,7.51,student
2023-01-30,GBJP2X2XV3,08:08,Brampton,08:22,Union Station,9.02,adult
2023-10-12,PXVV1B4K2S,06:28,Hamilton,07:07,Union Station,4.2,senior
2023-05-26,14PRVI3X1O,07:33,Oakville,08:29,Union Station,7.78,student
2023-11-19,9TYDTBOMXC,08:11,Bloor,08:19,Union Station,7.06,senior
2023-04-10,NU7QN7F6P4,08:43,Pickering,08:55,Union Station,7.34,student
2023-04-22,IZXQRZ38DK,06:22,Yorkdale,06:57,Union Station,6.36,senior
2023-08-20,BXTPG1VH2S,06:56,Oakville,08:21,Union Station,3.56,adult
2023-05-18,MVEIWEQ145,08:49,Union Station,08:50,Union Station,9.94,adult
2023-11-03,LDNJI4447H,07:09,Union Station,07:54,Union Station,7.65,student
2023-11-20,VNCXGV0NZS,07:16,Hamilton,08:52,Union Station,8.41,adult
2023-12-15,4U7OY8MDWX,08:22,Yorkdale,08:53,Union Station,7.09,senior
2023-06-29,M5OPGKYT2B,08:35,Hamilton,08:42,Union Station,14.73,student
2023-09-24,DW8I4W6KNC,07:31,Brampton,07:58,Union Station,7.1,student
2023-08-15,MSNYYHJVJO,06:16,Yorkdale,07:39,Union Station,5.53,senior
2023-10-07,EVPCC9BRIV,07:54,Brampton,08:15,Union Station,10.89,adult
2023-09-08,2XZPWWUMR1,06:12,Yorkdale,07:16,Union Station,11.31,senior
2023-10-29,ONN89I5Z0Q,07:34,Union Station,08:39,Union Station,12.16,student
2023-08-21,IRBXMR7FOX,06:26,Hamilton,08:16,Union Station,14.9,student
2023-08-19,HHQ8JRCMMF,08:03,Pickering,08:20,Union Station,14.46,student
2023-08-15,B985O2R03O,07:37,Hamilton,08:37,Union Station,6.76,senior
2023-12-31,PJ5BS667BZ,07:03,Hamilton,08:48,Union Station,7.05,senior
2023-09-17,5G7YASBL2Z,08:44,Brampton,08:57,Union Station,3.62,senior
2023-11-14,X52B3J9ZIA,06:46,Union Station,07:28,Union Station,4.43,senior
2023-02-28,VMP6107DE0,08:43,Scarborough,08:48,Union Station,6.94,adult
2023-07-10,9U3IFGO0R7,06:16,Hamilton,08:12,Union Station,6.14,adult
2023-11-21,KOJF47NK87,08:51,Brampton,08:59,Union Station,7.01,adult
2023-10-02,37DSK2MHA9,07:04,Scarborough,08:26,Union Station,14.58,adult
2023-02-28,GYY00WGYHL,07:23,Scarborough,07:24,Union Station,12.11,senior
2023-05-05,UWGP8XQ3TV,08:56,Bloor,08:56,Union Station,4.98,adult
2023-07-10,OGIA4W4E5A,08:26,Scarborough,08:59,Union Station,5.42,student
2023-06-25,1B4UCIFGWY,06:33,Hamilton,08:09,Union Station,13.84,student
2023-06-09,MZIX03WW2M,08:32,Hamilton,08:52,Union Station,4.65,adult
2023-02-26,PR5024JPRH,07:11,Bloor,08:34,Union Station,5.65,student
2023-11-25,PEWGQP90Y4,07:57,Union Station,08:49,Union Station,14.75,adult
2023-01-24,54QE7P3SIW,08:23,Bloor,08:46,Union Station,8.66,student
2023-10-11,Y4V9SZG76U,07:58,Brampton,08:41,Union Station,11.81,student
2023-03-04,U706UDQNPU,06:25,Scarborough,07:30,Union Station,10.24,senior
2023-07-25,123JJAZC61,07:42,Pickering,08:19,Union Station,6.92,senior
2023-09-24,X863WFP8ZV,07:31,Oakville,07:32,Union Station,8.42,student
2023-07-24,K9KR3SMVFG,07:25,Bloor,08:54,Union Station,14.3,senior
2023-01-28,09IOU177AI,08:48,Bloor,08:49,Union Station,12.6,adult
2023-11-03,TWAORCPSXC,06:48,Bloor,08:34,Union Station,4.17,student
2023-08-08,8RB62H7OIU,06:45,Oakville,07:19,Union Station,14.37,senior
2023-04-26,6YIUBALC9R,08:55,Brampton,08:59,Union Station,9.0,senior
2023-04-26,J8QUZCBFKJ,08:37,Oakville,08:41,Union Station,6.71,senior
2023-04-16,SZ6JUVZ597,06:03,Oakville,08:26,Union Station,10.22,adult
2023-05-27,1U89SB9MWX,06:47,Union Station,08:26,Union Station,7.81,student
2023-03-21,DBH2GNY5H7,07:29,Bloor,08:29,Union Station,5.84,adult
2023-02-22,T67WLUMGKC,06:37,Scarborough,08:26,Union Station,6.71,adult
2023-12-03,6BGMW9JIRZ,06:25,Hamilton,08:06,Union Station,5.88,student
2023-04-28,1DKF74JZN9,07:43,Bloor,07:43,Union Station,12.31,adult
2023-08-11,XVDU2Z42B1,06:07,Scarborough,08:09,Union Station,8.11,student
2023-12-25,2A94NXR4TZ,06:09,Pickering,07:33,Union Station,11.62,adult
2023-02-16,1NM96ORL7K,08:02,Hamilton,08:55,Union Station,5.05,senior
2023-01-25,CE68NUU7X4,06:21,Hamilton,08:59,Union Station,11.55,senior
2023-06-13,N80SQ7904A,06:44,Scarborough,08:54,Union Station,12.95,senior
2023-05-24,27CGAH8IPR,08:02,Yorkdale,08:18,Union Station,5.97,adult
2023-08-03,QMTUT2N9JZ,06:34,Brampton,08:22,Union Station,6.02,adult
2023-08-11,KWMEZ2M5UW,07:45,Pickering,08:24,Union Station,9.93,adult
2023-08-22,ZG9TZRL6CS,08:01,Union Station,08:10,Union Station,14.77,senior
2023-04-22,PSK0QONC77,08:29,Bloor,08:59,Union Station,8.21,student
2023-05-09,PM3H2OWKGG,08:01,Union Station,08:05,Union Station,4.11,student
2023-12-14,A4RLJRG4EO,08:27,Yorkdale,08:49,Union Station,7.29,senior
2023-06-22,H4MJ3T4S02,07:40,Scarborough,08:19,Union Station,7.12,senior
2023-10-22,ICGHB0U5II,06:40,Hamilton,08:14,Union Station,13.44,adult
2023-04-04,Y2WM22CGR4,07:18,Union Station,07:50,Union Station,6.06,adult
2023-04-16,XOOA4MKZ5G,08:33,Brampton,08:40,Union Station,8.03,adult
2023-10-01,0HMBW7SS8F,07:15,Yorkdale,07:49,Union Station,10.44,student
2023-06-06,DEVYUFGM9A,06:51,Yorkdale,08:55,Union Station,4.23,senior
2023-02-04,Q30HQWW7KP,07:37,Brampton,08:12,Union Station,4.68,adult
2023-06-08,P3MHEQNAOA,07:07,Bloor,08:48,Union Station,4.9,senior
2023-11-08,JF50W20WUX,07:50,Bloor,08:01,Union Station,4.53,senior
2023-07-28,6L827MK9JX,06:35,Union Station,07:24,Union Station,10.36,adult
2023-05-12,X5CKNOVA12,06:36,Bloor,07:22,Union Station,6.16,adult
2023-03-09,AC2BSP2TIC,08:18,Hamilton,08:54,Union Station,14.96,adult
2023-10-08,Z3ZRDAP771,06:57,Yorkdale,08:01,Union Station,11.31,adult
2023-04-23,D1DX2QBLSU,07:11,Scarborough,07:54,Union Station,4.78,adult
2023-02-25,FF371NX4FF,07:06,Union Station,07:07,Union Station,6.21,adult
2023-08-19,LG6KFBHD23,08:55,Yorkdale,08:59,Union Station,9.57,adult
2023-09-11,ZXNCPEV23U,06:54,Brampton,08:28,Union Station,13.56,student
2023-08-27,Q1HWB50KGA,07:00,Oakville,08:59,Union Station,5.39,senior
2023-05-15,3W2UILC6IG,08:09,Bloor,08:47,Union Station,11.16,student
2023-01-08,NV1YBCC08J,08:40,Union Station,08:47,Union Station,4.14,adult
2023-03-04,MEBVJXW7BL,07:56,Hamilton,08:11,Union Station,3.83,student
2023-07-13,DEVYUFGM9A,07:49,Scarborough,08:30,Union Station,14.68,senior
2023-04-18,U95PPHRKBI,06:32,Bloor,06:33,Union Station,11.04,senior
2023-04-09,0EGYMLAICY,07:27,Bloor,07:38,Union Station,13.96,senior
2023-06-01,XNK0Z3PQHS,06:11,Brampton,06:44,Union Station,6.93,adult
2023-04-03,OJ427ZD8FL,08:20,Bloor,08:31,Union Station,8.85,senior
2023-01-06,1EPOI0CGOT,07:53,Bloor,08:41,Union Station,13.62,senior
2023-01-30,M1LKSNQEDK,06:24,Yorkdale,07:15,Union Station,4.26,student
2023-11-20,PNNS5PB6YW,08:20,Yorkdale,08:43,Union Station,11.95,student
2023-01-22,I0WN2MLW10,06:47,Union Station,08:39,Union Station,10.89,senior
2023-01-17,ZTXNC8J4AW,06:27,Oakville,08:16,Union Station,12.72,adult
2023-02-23,8G20OUGNWT,07:49,Pickering,08:14,Union Station,6.03,senior
2023-08-29,4FM3RNYETX,07:49,Union Station,07:54,Union Station,5.99,adult
2023-02-25,62EFCCAEF0,07:07,Bloor,08:26,Union Station,14.21,student
2023-12-25,UQH5TGJCSZ,07:13,Bloor,08:36,Union Station,12.54,senior
2023-09-04,MA63DEW04U,06:38,Yorkdale,08:35,Union Station,14.48,senior
2023-04-26,0V93MGK7LW,07:41,Pickering,08:05,Union Station,4.02,adult
2023-12-25,L6SMCMKJ2Y,06:41,Pickering,08:12,Union Station,5.66,adult
2023-05-11,WBW8WZ8T69,06:20,Yorkdale,06:20,Union Station,14.07,student
2023-10-09,OGA6W33VM4,08:20,Brampton,08:43,Union Station,11.89,student
2023-12-27,GOCAU7HNJX,07:38,Oakville,07:50,Union Station,11.67,student
2023-07-01,EHJUYKTV2A,07:07,Yorkdale,07:24,Union Station,13.58,adult
2023-08-22,2647OLT23N,07:31,Scarborough,08:03,Union Station,7.18,adult
2023-01-11,9QZ2STDC7W,06:18,Scarborough,07:46,Union Station,11.74,senior
2023-12-01,R4UTAJUUKE,08:37,Yorkdale,08:56,Union Station,8.01,student
2023-12-11,DBNKLX14NN,08:54,Bloor,08:59,Union Station,8.86,student
2023-10-08,MZ2WSBY4U1,07:26,Bloor,08:04,Union Station,11.97,adult
2023-01-30,U934771CCA,08:50,Bloor,08:50,Union Station,10.0,senior
2023-01-24,T8JOKNKFX1,06:00,Union Station,07:00,Union Station,6.06,senior
2023-12-08,1QD6GGRF4Q,07:16,Scarborough,07:53,Union Station,5.08,student
2023-04-15,0I4KBBQ6SF,07:25,Hamilton,07:59,Union Station,14.0,adult
2023-11-23,6OTYASPXDM,08:48,Union Station,08:57,Union Station,12.21,senior
2023-08-19,MBCN2D0EO8,08:28,Hamilton,08:37,Union Station,9.41,adult
2023-10-27,XRXLI3QLCL,08:32,Scarborough,08:57,Union Station,13.89,senior
2023-08-23,K4R6W5QP52,07:30,Bloor,08:38,Union Station,12.81,senior
2023-07-29,M48Q4E0VS9,06:19,Scarborough,07:44,Union Station,8.29,student
2023-07-28,TTCH75FVDW,07:50,Pickering,07:54,Union Station,9.93,senior
2023-06-24,Y1M0N35TK0,07:39,Scarborough,08:02,Union Station,8.85,student
2023-07-09,B38XRULA7Q,08:28,Pickering,08:35,Union Station,9.84,adult
2023-02-28,Q3U8HU4YKY,07:37,Scarborough,08:19,Union Station,4.78,adult
2023-07-13,B4XNFNVLC8,07:02,Yorkdale,07:14,Union Station,13.01,senior
2023-06-16,Z3GTICYBH3,08:15,Oakville,08:40,Union Station,4.89,senior
2023-08-15,NZ4OC0KTCW,06:37,Scarborough,08:29,Union Station,7.78,adult
2023-09-13,6C65958DA4,08:03,Union Station,08:10,Union Station,3.64,adult
2023-11-25,DUXQTC75Q7,07:16,Yorkdale,07:31,Union Station,10.0,adult
2023-12-21,Q4JELLNICW,08:05,Union Station,08:49,Union Station,6.64,senior
2023-01-26,XMVJU7JFBN,08:57,Hamilton,08:59,Union Station,5.6,adult
2023-07-24,HLUL7B0YHT,08:31,Hamilton,08:54,Union Station,4.2,senior
2023-11-16,0SLFKPE76R,08:47,Yorkdale,08:53,Union Station,13.21,student
2023-03-17,K59IKZ0SQW,06:39,Yorkdale,07:17,Union Station,9.95,student
2023-02-01,J2AIE5F4RP,06:12,Union Station,06:43,Union Station,8.27,adult
2023-01-06,A8A5XVKIKN,07:28,Scarborough,07:58,Union Station,11.82,student
2023-07-20,VDMU90QGSS,08:50,Scarborough,08:57,Union Station,13.61,senior
2023-01-01,TNJ21FR6CJ,07:05,Hamilton,08:06,Union Station,7.95,student
2023-05-09,ID6C4MKLR8,08:26,Scarborough,08:57,Union Station,7.39,senior
2023-07-08,62Y0QDRO4F,06:14,Brampton,08:55,Union Station,9.07,student
2023-08-09,QXE1UL3RKM,08:20,Yorkdale,08:28,Union Station,10.34,adult
2023-08-18,8VYUNJIUC9,08:11,Scarborough,08:53,Union Station,11.69,senior
2023-07-24,ZQNW5V7DZ8,06:23,Bloor,08:26,Union Station,4.57,senior
2023-11-17,Z2CPH49R46,07:49,Bloor,08:12,Union Station,14.2,senior
2023-09-15,767ZDT7D15,08:50,Oakville,08:59,Union Station,4.0,student
2023-02-13,BIUXX7XGGE,07:51,Bloor,08:10,Union Station,10.61,student
2023-02-25,HOAIMWTHNV,06:02,Bloor,07:39,Union Station,7.14,adult
2023-09-18,A8QFVIISQ7,08:23,Yorkdale,08:56,Union Station,14.21,adult
2023-03-08,1XBHILZIB1,06:11,Bloor,06:59,Union Station,4.31,student
2023-05-08,62EFCCAEF0,06:48,Oakville,08:28,Union Station,4.92,adult
2023-01-11,PS8O8FB1S2,08:30,Yorkdale,08:31,Union Station,14.96,student
2023-03-31,JVWYV6YSJF,06:16,Scarborough,06:29,Union Station,5.0,senior
2023-12-13,37OZHOEOE4,07:02,Hamilton,08:41,Union Station,6.68,adult
2023-11-22,3H7FBUTMLF,07:28,Pickering,08:19,Union Station,13.07,student
2023-10-03,1OLZMAH8BA,07:22,Hamilton,08:45,Union Station,6.4,student
2023-01-12,1SGBBOA1D6,08:07,Oakville,08:35,Union Station,14.82,adult
2023-09-16,1M2S3JIQPW,07:35,Hamilton,08:21,Union Station,9.12,student
2023-12-11,ATLBWMA34X,07:29,Brampton,08:48,Union Station,9.65,student
2023-04-26,4M262YOWMK,07:33,Oakville,07:36,Union Station,5.33,student
2023-02-02,QCPJG5T05M,06:19,Brampton,07:01,Union Station,10.49,adult
2023-12-03,KNRPSD4L6Q,08:15,Union Station,08:44,Union Station,11.02,senior
2023-04-01,SQLKJ0YH3W,06:37,Brampton,08:02,Union Station,10.39,adult
2023-04-21,LXNM3SRNUJ,06:46,Oakville,07:14,Union Station,10.46,senior
2023-09-13,D692U4BCNN,06:23,Pickering,06:46,Union Station,6.08,senior
2023-07-10,JE4YNTSJPP,08:31,Brampton,08:57,Union Station,10.73,senior
2023-02-03,NMHKZHXYSG,08:21,Bloor,08:48,Union Station,10.98,senior
2023-12-08,9YKL1HS70C,06:13,Yorkdale,07:11,Union Station,6.8,adult
2023-02-11,PZCBAWYOI2,08:06,Scarborough,08:43,Union Station,5.42,senior
2023-10-03,YPB3ZZ8D0P,06:49,Yorkdale,07:26,Union Station,8.37,adult
2023-06-10,KQJXT2QM5U,08:17,Bloor,08:52,Union Station,11.61,student
2023-08-18,BU56QH77IZ,07:35,Hamilton,08:42,Union Station,8.68,senior
2023-01-13,DMTTEPANKA,08:01,Yorkdale,08:25,Union Station,11.85,adult
2023-09-20,ZG9TZRL6CS,06:00,Scarborough,07:02,Union Station,14.78,adult
2023-10-16,UOMPQPAQXK,08:31,Brampton,08:33,Union Station,8.85,student
2023-08-20,N0F5IEHM3A,07:22,Oakville,08:18,Union Station,9.23,student
2023-10-09,N1XCFOBIPD,07:41,Pickering,07:43,Union Station,7.74,student
2023-09-04,0NBBZKYZGQ,06:24,Scarborough,07:19,Union Station,6.72,senior
2023-01-05,SR84AJAVPJ,06:57,Oakville,07:36,Union Station,5.41,senior
2023-05-31,XNMEKST4DU,07:30,Bloor,08:29,Union Station,9.32,senior
2023-05-03,467CHTWIQI,07:00,Union Station,07:14,Union Station,7.98,adult
2023-12-03,4NA6QULILJ,06:15,Oakville,06:29,Union Station,6.44,student
2023-08-01,RQSOE59SX8,08:11,Hamilton,08:24,Union Station,7.13,senior
2023-07-27,LLMI3SE2GF,06:30,Hamilton,07:00,Union Station,8.37,student
